1.	Start
a.	Native
b.	Invite
c.	Greet
d.	Donate
e.	Pray
f.	Attire
g.	Gift
h.	Ritual
i.	Dress
j.	Kid
k.	Jewellery
l.	Seed
m.	Express
n.	Supreme
o.	Match
p.	Practise
q.	Media
r.	Garland
s.	Relative
t.	Tray
u.	Decoration
v.	Cookery
w.	Cutlery
x.	Surplus
y.	Due
z.	Dope
2.	End
