1.	Start
a.	Party
b.	Matter
c.	Bond
d.	Chain
e.	Case
f.	Extend
g.	Set
h.	Fact
i.	Tribute
j.	Period
k.	Mirror
l.	Copy
m.	Hash
n.	Acute
o.	Cross
p.	Location
q.	Complex
r.	Balance
s.	Care
t.	Semi
u.	Help
v.	Deck
w.	Bend
x.	Ascend
y.	Attract
z.	Press
2.	End
