1.	Start
a.	Program
b.	Read
c.	Thing
d.	Role
e.	Previous
f.	Cube
g.	Cone
h.	Prism
i.	Helix
j.	Pyramid
k.	Slab
l.	Block
m.	Unary
n.	Tertiary
o.	Binary
p.	Hexagon
q.	Polygon
r.	Torus
s.	Box
t.	Cylinder
u.	Sphere
v.	Next
w.	Reason
x.	Buzz
y.	Write
z.	Code
2.	End
