1.	Start
a.	Coat
b.	Suit
c.	Wearable
d.	Blazer
e.	Salwar
f.	Skirt
g.	Tie
h.	Blouse
i.	Saree
j.	Belt
k.	Eyeglass
l.	Jacket
m.	Hat
n.	Cap
o.	Gown
p.	Band
q.	Glove
r.	Scarf
s.	Handkerchief
t.	Pant
u.	Vest
v.	Towel
w.	Shoe
x.	Sweater
y.	Shirt
z.	Sock
2.	End
