1.	Start
a.	Sepia
b.	Gradient
c.	Radiant
d.	Golden
e.	Smudge
f.	Burnish
g.	Monolith
h.	Floral
i.	Sparkle
j.	Sketch
k.	Amber
l.	Atomic
m.	Common
n.	Mutation
o.	Traditional
p.	Orthodox
q.	Transparent
r.	Enhance
s.	Cartoon
t.	Emboss
u.	Fluorescent
v.	Texture
w.	Vivid
x.	Greyscale
y.	Vintage
z.	Punch
2.	End
