1.	Start
a.	Fry
b.	Fruit
c.	Drink
d.	Boil
e.	Bake
f.	Mash
g.	Broil
h.	Toast
i.	Barbecue
j.	Meal
k.	Dessert
l.	Nut
m.	Juice
n.	Salad
o.	Simmer
p.	Soup
q.	Chocolate
r.	Noodle
s.	Roast
t.	Cream
u.	Beverage
v.	Cereal
w.	Cuisine
x.	Puff
y.	Pastry
z.	Cake
2.	End
